id,province,district,gi2007,gi2008,gi2009,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019,gi2020,gi2021,gi2022,gi2023
194,Jawa Barat,Kota Cirebon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Bali,Kota Denpasar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Jawa Barat,Kota Depok ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Riau,Kota Dumai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Gorontalo,Kota Gorontalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Sumatera Utara,Kota Gunungsitoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,DKI Jakarta,Kota Jakarta Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,DKI Jakarta,Kota Jakarta Pusat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,DKI Jakarta,Kota Jakarta Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,DKI Jakarta,Kota Jakarta Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,DKI Jakarta,Kota Jakarta Utara ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Jambi,Kota Jambi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Papua,Kota Jayapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Jawa Timur ,Kota Kediri ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Sulawesi Tenggara,Kota Kendari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Sulawesi Utara ,Kota Kotamobagu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Nusa Tenggara Timur ,Kota Kupang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Aceh,Kota Langsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Aceh,Kota Lhokseumawe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Sumatera Selatan ,Kota Lubuklinggau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Jawa Timur ,Kota Madiun ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Jawa Tengah,Kota Mageleng ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Sulawesi Selatan ,Kota Makassar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Jawa Timur ,Kota Malang ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Sulawesi Utara ,Kota Manado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Nusa Tenggara Barat,Kota Mataram ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Sumatera Utara,Kota Medan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Lampung,Kota Metro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Jawa Timur ,Kota Mojokerto ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Sumatera Barat,Kota Padang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Sumatera Barat,Kota Padang Panjang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Sumatera Utara,Kota Padangsidimpuan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Sumatera Selatan ,Kota Pagar Alam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Kalimantan Tengah,Kota Palangka Raya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Sumatera Selatan ,Kota Palembang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Sulawesi Selatan ,Kota Palopo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Sulawesi Tengah ,Kota Palu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Kep. Bangka Belitung,Kota Pangkal Pinang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
