id,province,district
419,Papua Barat ,Raja Ampat
420,Bengkulu,Rejang Lebong
421,Jawa Tengah,Rembang
422,Riau,Rokan Hilir
423,Riau,Rokan Hulu
424,Nusa Tenggara Timur ,Rote Ndao
425,Nusa Tenggara Timur ,Sabu Raijua
426,Kalimantan Barat,Sambas
427,Sumatera Utara,Samosir
428,Jawa Timur ,Sampang
429,Kalimantan Barat,Sanggau
430,Papua,Sarmi
431,Jambi,Sarolangun
432,Kalimantan Barat,Sekadau
433,Bengkulu,Seluma
434,Jawa Tengah,Semarang
435,Maluku,Seram Bagian Barat
436,Maluku,Seram Bagian Timur
437,Banten,Serang
438,Sumatera Utara,Serdang Bedagai
439,Kalimantan Tengah,Seruyan
440,Riau,Siak
441,Sulawesi Utara ,Siau Tagulandang
442,Sulawesi Selatan ,Sidenreng Rappang
443,Jawa Timur ,Sidoarjo
444,Sulawesi Tengah ,Sigi
445,Sumatera Barat,Sijunjung
446,Nusa Tenggara Timur ,Sikka
447,Sumatera Utara,Simalungun
448,Aceh,Simeulue
449,Sulawesi Selatan ,Sinjai
450,Kalimantan Barat,Sintang
451,Jawa Timur ,Situbondo
452,DI Yogyakarta ,Sleman
453,Sumatera Barat,Solok
454,Sumatera Barat,Solok Selatan
455,Sulawesi Selatan ,Soppeng
456,Papua Barat ,Sorong
457,Papua Barat ,Sorong Selatan
458,Jawa Tengah,Sragen
459,Jawa Barat,Subang
460,Jawa Barat,Sukabumi
461,Kalimantan Tengah,Sukamara
462,Jawa Tengah,Sukoharjo
463,Nusa Tenggara Timur ,Sumba Barat
464,Nusa Tenggara Timur ,Sumba Barat Daya
465,Nusa Tenggara Timur ,Sumba Tengah
466,Nusa Tenggara Timur ,Sumba Timur
467,Nusa Tenggara Barat,Sumbawa
468,Nusa Tenggara Barat,Sumbawa Barat
469,Jawa Barat,Sumedang
470,Jawa Timur ,Sumenep
471,Papua,Supiori
472,Kalimantan Selatan,Tabalong
473,Bali,Tabanan
474,Sulawesi Selatan ,Takalar
475,Papua Barat ,Tambrauw
476,Kalimantan Utara,Tana Tidung
477,Sulawesi Selatan ,Tana Toraja
478,Kalimantan Selatan,Tanah Bumbu
479,Sumatera Barat,Tanah Datar
480,Kalimantan Selatan,Tanah Laut
481,Banten,Tangerang
482,Lampung,Tanggamus
483,Jambi,Tanjung Jabung Barat
484,Jambi,Tanjung Jabung Timur
485,Sumatera Utara,Tapanuli Selatan
486,Sumatera Utara,Tapanuli Tengah
487,Sumatera Utara,Tapanuli Utara
488,Kalimantan Selatan,Tapin
489,Jawa Barat,Tasikmalaya
490,Jambi,Tebo
491,Jawa Tengah,Tegal
492,Papua Barat ,Teluk Bintuni
493,Papua Barat ,Teluk Wondama
494,Jawa Tengah,Temanggung
495,Nusa Tenggara Timur ,Timor Tengah Selatan 
496,Nusa Tenggara Timur ,Timor Tengah Utara
497,Sumatera Utara,Toba Samosir
498,Sulawesi Tengah ,Tojo Una-Una
499,Papua,Tolikara
500,Sulawesi Tengah ,Toli-Toli
501,Sulawesi Selatan ,Toraja Utara
502,Jawa Timur ,Trenggalek
503,Jawa Timur ,Tuban
504,Lampung,Tulang Bawang Barat
505,Lampung,Tulangbawang
506,Jawa Timur ,Tulungagung
507,Sulawesi Selatan ,Wajo
508,Sulawesi Tenggara,Wakatobi
509,Papua,Waropen
510,Lampung,Way Kanan
511,Jawa Tengah,Wonogiri
512,Jawa Tengah,Wonosobo
513,Papua,Yahukimo
514,Papua,Yalimo
