id,district,categorical_count_2022,mosaic_cropland_2022,rainfed_cropland_2022,sparse_vegetation_2022,categorical_urban_2022,irrigated_cropland_2022,count_2022,categorical_count_2021,mosaic_cropland_2021,rainfed_cropland_2021,sparse_vegetation_2021,categorical_urban_2021,water_bodies_2021,forest_2021,irrigated_cropland_2021,count_2021,categorical_count_2020,mosaic_cropland_2020,rainfed_cropland_2020,sparse_vegetation_2020,categorical_urban_2020,irrigated_cropland_2020,count_2020,categorical_count_2019,mosaic_cropland_2019,rainfed_cropland_2019,sparse_vegetation_2019,categorical_urban_2019,irrigated_cropland_2019,count_2019,categorical_count_2018,mosaic_cropland_2018,rainfed_cropland_2018,sparse_vegetation_2018,categorical_urban_2018,irrigated_cropland_2018,count_2018,categorical_count_2017,mosaic_cropland_2017,rainfed_cropland_2017,sparse_vegetation_2017,categorical_urban_2017,irrigated_cropland_2017,count_2017,categorical_count_2016,mosaic_cropland_2016,rainfed_cropland_2016,sparse_vegetation_2016,categorical_urban_2016,irrigated_cropland_2016,count_2016,categorical_count_2015,mosaic_cropland_2015,rainfed_cropland_2015,sparse_vegetation_2015,categorical_urban_2015,irrigated_cropland_2015,count_2015,categorical_count_2014,mosaic_cropland_2014,rainfed_cropland_2014,sparse_vegetation_2014,categorical_urban_2014,irrigated_cropland_2014,count_2014,categorical_count_2013,mosaic_cropland_2013,rainfed_cropland_2013,sparse_vegetation_2013,categorical_urban_2013,irrigated_cropland_2013,count_2013,categorical_count_2012,mosaic_cropland_2012,rainfed_cropland_2012,sparse_vegetation_2012,categorical_urban_2012,irrigated_cropland_2012,count_2012,categorical_count_2011,mosaic_cropland_2011,rainfed_cropland_2011,sparse_vegetation_2011,categorical_urban_2011,irrigated_cropland_2011,count_2011,categorical_count_2010,mosaic_cropland_2010,rainfed_cropland_2010,sparse_vegetation_2010,categorical_urban_2010,irrigated_cropland_2010,count_2010
38,Barito Utara,104619,26165,1216,8,55,9,104729.4991,104619,26183,1191,8,55,636,76536,9,104729.4991,104619,26359,1153,8,55,9,104729.4789,104619,26294,1148,8,54,9,104729.4789,104619,26249,1142,8,54,9,104729.4789,104619,25222,1061,8,54,9,104729.4789,104619,25157,1058,8,54,9,104729.4789,104619,26552,923,8,54,3,104729.4789,104619,26552,923,8,54,3,104729.4789,104619,26683,921,8,45,4,104729.4789,104619,26758,838,8,17,6,104729.4789,104619,26798,838,8,17,6,104729.4789,104619,26837,838,8,16,6,104729.4789
39,Barru,12552,1180,4888,151,186,26,12606.41992,12552,1229,4986,151,181,264,5715,26,12606.41992,12552,1353,5168,151,179,26,12606.41992,12552,1354,5172,151,171,26,12606.41992,12552,1350,5147,151,171,26,12606.41992,12552,1350,5145,151,171,26,12606.41992,12552,1350,5135,151,171,26,12606.41992,12552,1350,5129,151,171,26,12606.41992,12552,1351,5173,151,124,28,12606.41992,12552,1487,5159,151,99,29,12606.41992,12552,1500,5169,151,94,29,12606.41992,12552,1514,5172,151,91,30,12606.41992,12552,1513,5167,151,90,30,12606.41992
40,Batang,9112,2488,1536,7,335,11,9148.429688,9112,2421,1533,7,324,94,4722,11,9148.429688,9112,2335,1515,7,316,11,9148.429688,9112,2329,1516,7,307,10,9148.429688,9112,2303,1488,7,307,10,9148.429688,9112,2317,1488,7,307,10,9148.429688,9112,2319,1488,7,307,10,9148.429688,9112,2313,1485,7,307,10,9148.429688,9112,2317,1499,7,288,10,9148.429688,9112,2362,1509,7,273,10,9148.429688,9112,2355,1515,7,262,10,9148.429688,9112,2347,1522,7,253,10,9148.429688,9112,2341,1521,7,250,10,9148.429688
41,Batang Hari,57560,44231,1392,4,24,9,57656.69922,57560,44306,1398,4,10,1012,10821,9,57656.69922,57560,44423,1381,4,7,9,57656.70013,57560,44515,1380,4,7,9,57656.70013,57560,44701,1380,4,7,9,57656.70013,57560,44644,1373,4,7,9,57656.70013,57560,44578,1372,4,7,9,57656.70013,57560,43906,1360,4,7,9,57656.70013,57560,43906,1360,4,7,9,57656.70013,57560,44214,1364,4,7,8,57656.70013,57560,44301,1367,4,7,8,57656.70013,57560,44004,1343,2,7,8,57656.70013,57560,43771,1332,2,7,8,57656.70013
42,Batu Bara,9621,6257,1917,0,414,6,9675.640625,9621,6261,1920,0,412,167,855,6,9675.640625,9621,6388,1944,0,412,6,9675.640625,9621,6391,1948,0,391,6,9675.640625,9621,6401,1948,0,389,6,9675.640625,9621,6401,1948,0,389,6,9675.640625,9621,6406,1950,0,382,6,9675.640625,9621,6409,1952,0,377,6,9675.640625,9621,6417,1987,0,331,6,9675.640625,9621,6408,2020,0,283,6,9675.640625,9621,6413,2054,0,238,7,9675.640625,9621,6414,2071,0,217,8,9675.640625,9621,6408,2079,0,207,8,9675.640625
43,Bekasi,13430,335,3100,0,8529,158,13483.51074,13430,345,3154,0,8480,717,575,159,13483.51074,13430,351,3165,0,8463,159,13483.51074,13430,379,3363,0,8199,179,13483.51074,13430,383,3377,0,8179,179,13483.51074,13430,385,3383,0,8171,179,13483.51074,13430,386,3391,0,8160,180,13483.51074,13430,387,3409,0,8145,181,13483.51074,13430,387,3483,0,8069,183,13483.51074,13430,389,3555,0,7990,183,13483.51074,13430,392,3641,0,7896,186,13483.51074,13430,400,3708,1,7815,190,13483.51074,13430,406,3764,1,7753,190,13483.51074
44,Belitung,24377,12596,3396,97,62,7,24525.4707,24377,12615,3399,97,58,308,7893,7,24525.4707,24377,12640,3401,94,53,7,24525.46954,24377,12417,3401,93,48,7,24525.46954,24377,12328,3396,93,48,7,24525.46954,24377,12278,3403,93,48,7,24525.46954,24377,12312,3443,93,48,7,24525.46954,24377,12300,3443,93,48,7,24525.46954,24377,12300,3443,93,48,7,24525.46954,24377,11124,3368,87,41,7,24525.46954,24377,11087,3366,87,35,7,24525.46954,24377,10551,3257,86,35,7,24525.46954,24377,10069,3109,72,34,7,24525.46954
45,Belitung Timur,26954,11659,4716,442,4,36,27034.32227,26954,11715,4703,445,4,442,9605,36,27034.32227,26954,11760,4656,456,4,31,27034.3194,26954,11668,4673,445,4,31,27034.3194,26954,11685,4679,401,4,31,27034.3194,26954,11697,4699,401,4,31,27034.3194,26954,11731,4694,401,4,31,27034.3194,26954,11770,4609,389,4,32,27034.3194,26954,11770,4609,389,3,33,27034.3194,26954,11172,4443,349,1,31,27034.3194,26954,11092,4398,349,1,31,27034.3194,26954,10776,4328,345,0,31,27034.3194,26954,10507,4258,335,0,30,27034.3194
46,Belu,11978,5858,5744,0,92,8,12025.44043,11978,5858,5745,0,91,26,250,8,12025.44043,11978,5858,5747,0,89,8,12025.44043,11978,5858,5749,0,87,8,12025.44043,11978,5860,5753,0,81,8,12025.44043,11978,5860,5753,0,81,8,12025.44043,11978,5862,5755,0,77,8,12025.44043,11978,5865,5756,0,73,8,12025.44043,11978,5865,5756,0,73,8,12025.44043,11978,5869,5757,0,68,8,12025.44043,11978,5870,5758,0,66,8,12025.44043,11978,5870,5758,0,66,8,12025.44043,11978,5870,5758,0,66,8,12025.44043
47,Bener Meriah,20408,2628,4500,57,16,0,20457.84961,20408,2638,4492,57,11,0,13210,0,20457.84961,20408,2636,4461,57,11,0,20457.84961,20408,2630,4452,53,11,0,20457.84961,20408,2569,4335,53,11,0,20457.84961,20408,2508,4200,51,11,0,20457.84961,20408,2469,4183,51,11,0,20457.84961,20408,2428,4181,51,11,0,20457.84961,20408,2428,4182,51,10,0,20457.84961,20408,2300,4043,51,10,0,20457.84961,20408,2246,4005,51,10,0,20457.84961,20408,2207,3965,51,10,0,20457.84961,20408,2194,3948,51,10,0,20457.84961
48,Bengkalis,89622,41570,9133,3038,324,2,89781.07031,89622,41640,9069,3042,298,535,35036,2,89781.07031,89622,41599,8823,3028,277,2,89781.07031,89622,41408,8811,3013,277,2,89781.07031,89622,41247,8785,3005,277,2,89781.07031,89622,41109,8538,2713,277,2,89781.07031,89622,40967,8524,2435,277,2,89781.07031,89622,40614,8420,2186,258,2,89781.07031,89622,40614,8433,2186,245,2,89781.07031,89622,38941,8326,1935,200,2,89781.07031,89622,38392,8271,1827,193,2,89781.07031,89622,37721,8201,1731,187,2,89781.07031,89622,36340,8047,1438,186,2,89781.07031
49,Bengkayang,59307,34022,4549,182,302,5,59438.8125,59307,33997,4551,182,300,143,20129,5,59438.8125,59307,33983,4552,182,298,5,59438.81006,59307,33911,4529,184,298,5,59438.81006,59307,33857,4518,184,292,5,59438.81006,59307,33958,4497,185,290,5,59438.81006,59307,33928,4480,185,288,5,59438.81006,59307,33836,4467,173,285,5,59438.81006,59307,33837,4467,173,284,5,59438.81006,59307,33929,4459,167,284,5,59438.81006,59307,33779,4416,156,284,4,59438.81006,59307,33697,4351,135,284,0,59438.81006,59307,33656,4288,134,284,0,59438.81006
50,Bengkulu Selatan,12961,3475,838,0,27,2,12992.57031,12961,3268,822,0,22,42,8805,2,12992.57031,12961,2990,761,0,22,2,12992.57031,12961,3027,757,0,20,2,12992.57031,12961,3009,753,0,20,2,12992.57031,12961,3006,753,0,20,2,12992.57031,12961,2999,753,0,20,2,12992.57031,12961,2970,752,0,20,2,12992.57031,12961,2970,752,0,20,2,12992.57031,12961,3455,773,0,15,2,12992.57031,12961,3505,787,0,4,2,12992.57031,12961,3519,788,0,4,2,12992.57031,12961,3487,788,0,4,2,12992.57031
51,Bengkulu Tengah,11025,5913,102,0,4,2,11054.75977,11025,5924,97,0,4,29,4969,2,11054.75977,11025,5912,97,0,4,2,11054.75977,11025,5951,98,0,3,2,11054.75977,11025,6035,98,0,3,2,11054.75977,11025,6051,98,0,3,2,11054.75977,11025,6011,98,0,3,2,11054.75977,11025,6010,98,0,3,2,11054.75977,11025,6010,98,0,3,2,11054.75977,11025,6387,101,0,3,2,11054.75977,11025,6406,100,0,3,2,11054.75977,11025,6380,100,0,3,2,11054.75977,11025,6333,100,0,3,2,11054.75977
52,Bengkulu Utara,46769,21499,706,0,46,0,46874.22117,46769,21438,696,0,46,281,24308,0,46874.22117,46769,21212,691,0,46,0,46874.22205,46769,21249,680,0,46,0,46874.22205,46769,21209,647,0,46,0,46874.22205,46769,21154,609,0,46,0,46874.22205,46769,21060,591,0,46,0,46874.22205,46769,21013,571,0,46,0,46874.22205,46769,21013,571,0,46,0,46874.22205,46769,21015,598,0,44,0,46874.22205,46769,21069,611,0,39,0,46874.22205,46769,20954,612,0,38,0,46874.22205,46769,20821,614,0,36,0,46874.22205
53,Berau,237359,33446,6809,1052,266,68,237770.4006,237359,33655,6705,1037,241,1144,194180,61,237770.4006,237359,33830,6657,1031,232,60,237770.4097,237359,33603,6542,1030,190,44,237770.4097,237359,33219,6083,888,156,19,237770.4097,237359,32878,5597,737,83,19,237770.4097,237359,32635,5059,641,83,19,237770.4097,237359,30325,4362,540,81,17,237770.4097,237359,30325,4364,540,79,17,237770.4097,237359,29301,3894,469,70,15,237770.4097,237359,28955,3527,443,55,9,237770.4097,237359,27532,3007,395,54,9,237770.4097,237359,26228,2816,351,53,7,237770.4097
54,Biak Numfor,23730,1870,950,6,213,0,23828.61719,23730,1875,958,6,212,298,20381,0,23828.61719,23730,1952,1000,6,212,0,23828.61996,23730,1940,835,6,210,0,23828.61996,23730,1929,761,6,210,0,23828.61996,23730,1903,723,6,210,0,23828.61996,23730,1902,722,6,210,0,23828.61996,23730,1899,717,6,210,0,23828.61996,23730,1899,717,6,210,0,23828.61996,23730,1571,569,6,207,0,23828.61996,23730,1571,569,6,207,0,23828.61996,23730,1563,569,6,206,0,23828.61996,23730,1541,538,6,203,0,23828.61996
55,Bima,44761,5627,16750,6293,426,120,45000.02734,44761,5817,16980,6288,407,603,13380,120,45000.02734,44761,6013,17119,6329,383,120,45000.02771,44761,6013,17113,6329,378,122,45000.02771,44761,5986,17097,6318,377,122,45000.02771,44761,5978,17099,6318,377,122,45000.02771,44761,5978,17060,6362,376,122,45000.02771,44761,5988,17073,6362,376,122,45000.02771,44761,5988,17079,6362,370,122,45000.02771,44761,6611,17139,6358,369,78,45000.02771,44761,6617,17141,6358,367,78,45000.02771,44761,6615,17140,6358,367,78,45000.02771,44761,6646,17142,6356,366,78,45000.02771
56,Bintan,14069,5968,3646,84,49,27,14259.43042,14069,6010,3675,84,46,949,3278,27,14259.43042,14069,6060,3701,84,44,27,14259.43046,14069,6041,3702,84,40,27,14259.43046,14069,6032,3704,84,40,27,14259.43046,14069,6022,3703,84,40,27,14259.43046,14069,6025,3705,84,40,27,14259.43046,14069,6048,3717,84,39,27,14259.43046,14069,6048,3717,84,39,27,14259.43046,14069,5377,3511,84,27,26,14259.43046,14069,5309,3487,81,25,26,14259.43046,14069,5204,3448,77,24,26,14259.43046,14069,5152,3444,77,23,26,14259.43046
57,Bireuen,18931,8035,2270,10,118,14,18977.09961,18931,8128,2281,10,107,400,7991,14,18977.09961,18931,8129,2286,10,101,14,18977.09961,18931,8124,2282,10,95,14,18977.09961,18931,8119,2286,10,95,14,18977.09961,18931,8108,2286,10,95,14,18977.09961,18931,8094,2283,10,95,14,18977.09961,18931,8090,2283,10,95,14,18977.09961,18931,8091,2286,10,90,14,18977.09961,18931,7896,2040,10,77,14,18977.09961,18931,7843,1979,7,60,14,18977.09961,18931,7841,1972,4,46,15,18977.09961,18931,7841,1973,4,42,17,18977.09961
58,Blitar,18643,6074,6430,513,275,0,18713.56055,18643,6059,6449,514,271,65,5285,0,18713.56055,18643,6066,6461,514,271,0,18713.56055,18643,6079,6457,514,269,0,18713.56055,18643,6095,6454,514,269,0,18713.56055,18643,6103,6455,514,269,0,18713.56055,18643,6117,6456,514,269,0,18713.56055,18643,6162,6463,514,269,0,18713.56055,18643,6172,6468,515,253,0,18713.56055,18643,6171,6469,518,243,0,18713.56055,18643,6172,6470,518,239,0,18713.56055,18643,6173,6472,519,234,0,18713.56055,18643,6166,6469,519,230,0,18713.56055
59,Blora,20667,82,19012,1375,76,1,20729.74023,20667,82,19029,1379,55,0,121,1,20729.74023,20667,82,19029,1382,52,1,20729.74023,20667,82,19031,1382,50,1,20729.74023,20667,82,19031,1382,50,1,20729.74023,20667,82,19031,1382,50,1,20729.74023,20667,82,19031,1382,50,1,20729.74023,20667,82,19031,1382,50,1,20729.74023,20667,82,19034,1382,47,1,20729.74023,20667,82,19036,1383,44,1,20729.74023,20667,82,19037,1383,43,1,20729.74023,20667,82,19037,1383,43,1,20729.74023,20667,82,19037,1383,43,1,20729.74023
60,Boalemo,19362,6465,3160,0,5,17,19453.07031,19362,6483,3161,0,4,102,9595,17,19453.07031,19362,6494,3161,0,4,17,19453.07031,19362,6486,3159,0,4,17,19453.07031,19362,6434,3159,0,4,17,19453.07031,19362,6392,3159,0,4,17,19453.07031,19362,6366,3159,0,4,17,19453.07031,19362,6305,3151,0,4,17,19453.07031,19362,6305,3151,0,4,17,19453.07031,19362,6244,3144,0,4,17,19453.07031,19362,6242,3144,0,4,17,19453.07031,19362,6225,3143,0,4,17,19453.07031,19362,6196,3142,0,4,17,19453.07031
61,Bogor,31730,11022,6457,72,6158,24,31817.50977,31730,11141,6546,72,6012,11,7924,24,31817.50977,31730,11187,6591,72,5934,24,31817.50928,31730,11310,6665,73,5813,26,31817.50928,31730,11360,6667,73,5810,26,31817.50928,31730,11365,6671,73,5805,26,31817.50928,31730,11385,6674,73,5800,26,31817.50928,31730,11592,6680,73,5797,26,31817.50928,31730,11630,6753,73,5681,29,31817.50928,31730,11795,6718,73,5525,31,31817.50928,31730,11801,6787,74,5350,35,31817.50928,31730,11875,6903,74,5134,38,31817.50928,31730,11951,6999,75,4965,40,31817.50928
62,Bojonegoro,24541,211,22274,1561,177,74,24626.84961,24541,213,22286,1562,165,33,208,74,24626.84961,24541,213,22287,1562,164,74,24626.84961,24541,213,22302,1562,146,77,24626.84961,24541,213,22302,1562,146,77,24626.84961,24541,213,22302,1564,144,77,24626.84961,24541,213,22302,1564,144,77,24626.84961,24541,213,22302,1564,144,77,24626.84961,24541,213,22312,1565,133,77,24626.84961,24541,213,22329,1565,115,78,24626.84961,24541,213,22334,1565,109,79,24626.84961,24541,213,22339,1565,102,81,24626.84961,24541,213,22344,1565,95,83,24626.84961
63,Bolaang Mongondow,34081,4644,4060,0,126,0,34167.29297,34081,4735,4156,0,123,51,25016,0,34167.29297,34081,4817,4221,0,122,0,34167.29102,34081,4808,4205,0,115,0,34167.29102,34081,4786,4004,0,115,0,34167.29102,34081,4702,3961,0,115,0,34167.29102,34081,4685,3921,0,115,0,34167.29102,34081,4670,3880,0,115,0,34167.29102,34081,4673,3882,0,109,0,34167.29102,34081,4724,3892,0,80,0,34167.29102,34081,4736,3910,0,59,0,34167.29102,34081,4737,3912,0,54,0,34167.29102,34081,4731,3905,0,52,0,34167.29102
64,Bolaang Mongondow Selatan,18934,1704,674,0,10,0,19034.36914,18934,1669,665,0,10,115,16475,0,19034.36914,18934,1609,633,0,10,0,19034.36914,18934,1609,627,0,10,0,19034.36914,18934,1595,623,0,10,0,19034.36914,18934,1542,610,0,10,0,19034.36914,18934,1512,576,0,10,0,19034.36914,18934,1499,563,0,10,0,19034.36914,18934,1499,563,0,10,0,19034.36914,18934,1455,511,0,9,0,19034.36914,18934,1446,508,0,9,0,19034.36914,18934,1436,526,0,9,0,19034.36914,18934,1403,516,0,9,0,19034.36914
65,Bolaang Mongondow Timur,9250,1359,368,0,34,0,9301.540039,9250,1370,367,0,34,86,7393,0,9301.540039,9250,1365,368,0,34,0,9301.540039,9250,1370,374,0,33,0,9301.540039,9250,1355,371,0,33,0,9301.540039,9250,1234,359,0,33,0,9301.540039,9250,1226,354,0,33,0,9301.540039,9250,1168,293,0,33,0,9301.540039,9250,1168,295,0,31,0,9301.540039,9250,1147,262,0,29,0,9301.540039,9250,1147,262,0,28,0,9301.540039,9250,1144,262,0,28,0,9301.540039,9250,1140,257,0,28,0,9301.540039
66,Bolaang Mongondow Utara,17650,869,3028,0,43,0,17694.30078,17650,869,2994,0,43,76,13668,0,17694.30078,17650,869,2947,0,43,0,17694.30078,17650,846,2932,0,43,0,17694.30078,17650,841,2871,0,43,0,17694.30078,17650,840,2837,0,43,0,17694.30078,17650,839,2784,0,43,0,17694.30078,17650,839,2739,0,43,0,17694.30078,17650,841,2741,0,39,0,17694.30078,17650,865,2737,0,21,0,17694.30078,17650,869,2739,0,9,0,17694.30078,17650,869,2739,0,9,0,17694.30078,17650,868,2737,0,9,0,17694.30078
67,Bombana,35228,11578,7622,485,18,61,35345.25781,35228,11588,7620,485,14,384,15076,61,35345.25781,35228,11729,7628,485,9,61,35345.25882,35228,11694,7605,485,9,61,35345.25882,35228,11549,7592,484,9,61,35345.25882,35228,11433,7572,484,9,61,35345.25882,35228,11368,7570,484,9,61,35345.25882,35228,11010,7544,482,9,60,35345.25882,35228,11010,7544,482,9,60,35345.25882,35228,11035,7524,482,9,60,35345.25882,35228,11018,7523,482,9,60,35345.25882,35228,11009,7523,482,9,60,35345.25882,35228,11001,7521,482,9,60,35345.25882
68,Bondowoso,16539,4556,4560,831,94,7,16581.66016,16539,4566,4548,836,88,3,6496,2,16581.66016,16539,4517,4524,843,86,2,16581.66016,16539,4515,4517,845,83,2,16581.66016,16539,4509,4507,845,83,2,16581.66016,16539,4495,4498,845,83,2,16581.66016,16539,4499,4498,845,83,2,16581.66016,16539,4519,4498,845,83,2,16581.66016,16539,4520,4498,845,82,2,16581.66016,16539,4509,4506,846,81,2,16581.66016,16539,4502,4506,846,81,2,16581.66016,16539,4486,4504,846,81,2,16581.66016,16539,4481,4504,846,81,2,16581.66016
69,Bone,48557,11267,28933,95,817,46,48683.19922,48557,11282,28983,95,788,951,6412,46,48683.19922,48557,11262,29017,95,769,46,48683.19672,48557,11278,29025,95,756,46,48683.19672,48557,11363,29132,95,755,45,48683.19672,48557,11416,29141,95,755,45,48683.19672,48557,11419,29147,95,754,45,48683.19672,48557,11429,29153,95,754,44,48683.19672,48557,11429,29198,95,707,44,48683.19672,48557,11700,29291,95,664,45,48683.19672,48557,11858,29348,95,654,45,48683.19672,48557,11948,29368,95,650,45,48683.19672,48557,11950,29366,95,646,45,48683.19672
70,Bone Bolango,20010,2987,882,0,23,0,20061.14844,20010,3039,884,0,21,31,16035,0,20061.14844,20010,3090,886,0,20,0,20061.14844,20010,3075,892,0,20,0,20061.14844,20010,2986,825,0,20,0,20061.14844,20010,2949,825,0,20,0,20061.14844,20010,2893,788,0,20,0,20061.14844,20010,2881,788,0,20,0,20061.14844,20010,2881,791,0,17,0,20061.14844,20010,2874,812,0,11,0,20061.14844,20010,2858,812,0,11,0,20061.14844,20010,2858,814,0,9,0,20061.14844,20010,2856,813,0,9,0,20061.14844
71,Botang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Boven Digoel,250359,13242,2351,276,0,185,250529.1289,250359,13015,2338,276,0,2490,232060,180,250529.1289,250359,12824,2318,276,0,173,250529.1016,250359,11759,2275,265,0,173,250529.1016,250359,11210,2263,265,0,173,250529.1016,250359,11092,2116,213,0,173,250529.1016,250359,11008,2089,203,0,133,250529.1016,250359,11046,1502,202,0,21,250529.1016,250359,11046,1502,202,0,21,250529.1016,250359,11045,1313,195,0,17,250529.1016,250359,11111,985,187,0,7,250529.1016,250359,11061,585,180,0,7,250529.1016,250359,11075,570,180,0,7,250529.1016
73,Boyolali,11528,4167,5158,792,218,0,11600.54004,11528,4211,5167,801,194,126,1029,0,11600.54004,11528,4210,5170,801,188,0,11600.54004,11528,4211,5173,803,181,0,11600.54004,11528,4211,5173,803,181,0,11600.54004,11528,4211,5173,803,181,0,11600.54004,11528,4213,5173,803,181,0,11600.54004,11528,4215,5176,803,181,0,11600.54004,11528,4223,5182,807,163,0,11600.54004,11528,4224,5201,816,133,0,11600.54004,11528,4225,5209,819,121,0,11600.54004,11528,4227,5214,820,113,0,11600.54004,11528,4227,5217,822,107,0,11600.54004
74,Brebes,18620,2645,4947,96,5759,106,18678.48828,18620,2669,4963,96,5733,1136,3917,106,18678.48828,18620,2684,4989,98,5698,106,18678.48828,18620,2722,5226,99,5396,125,18678.48828,18620,2692,5239,101,5381,125,18678.48828,18620,2694,5239,101,5381,125,18678.48828,18620,2699,5242,101,5377,126,18678.48828,18620,2752,5245,101,5375,127,18678.48828,18620,2766,5285,101,5318,129,18678.48828,18620,2807,5289,101,5281,128,18678.48828,18620,2806,5335,103,5225,128,18678.48828,18620,2800,5387,103,5160,130,18678.48828,18620,2799,5423,103,5089,130,18678.48828
75,Buleleng,13935,1396,3460,237,189,10,14008.97949,13935,1413,3506,237,144,132,8493,10,14008.97949,13935,1411,3422,239,129,10,14008.97949,13935,1406,3411,239,124,10,14008.97949,13935,1407,3398,239,124,10,14008.97949,13935,1401,3373,239,124,10,14008.97949,13935,1401,3373,239,124,10,14008.97949,13935,1412,3423,239,123,10,14008.97949,13935,1413,3429,239,116,10,14008.97949,13935,1423,3287,239,112,10,14008.97949,13935,1424,3295,239,107,10,14008.97949,13935,1423,3284,239,105,10,14008.97949,13935,1422,3289,239,100,10,14008.97949
76,Bulukumba,12320,6994,3695,122,647,19,12374.50098,12320,7003,3708,122,642,143,683,19,12374.50098,12320,7003,3709,122,641,19,12374.50098,12320,6992,3709,122,640,17,12374.50098,12320,6976,3708,122,640,17,12374.50098,12320,6975,3708,122,640,17,12374.50098,12320,6975,3708,122,640,17,12374.50098,12320,6975,3708,122,640,17,12374.50098,12320,6975,3751,123,594,17,12374.50098,12320,6987,3793,126,546,17,12374.50098,12320,6990,3829,127,506,17,12374.50098,12320,6990,3868,130,464,17,12374.50098,12320,6990,3906,130,426,17,12374.50098
77,Bulungan,133979,18936,4442,436,53,7,134405.8086,133979,18862,4410,435,49,5132,104947,7,134405.8086,133979,18832,4378,428,45,7,134405.8018,133979,18501,4321,410,45,7,134405.8018,133979,18166,4204,327,45,7,134405.8018,133979,17814,3929,268,44,4,134405.8018,133979,17656,3681,246,44,4,134405.8018,133979,17095,2945,149,44,4,134405.8018,133979,17096,2950,149,37,4,134405.8018,133979,16134,2566,94,32,4,134405.8018,133979,15764,2343,33,28,4,134405.8018,133979,15016,2114,12,27,4,134405.8018,133979,14063,1918,9,26,4,134405.8018
78,Bungo,49422,34979,1282,0,122,0,49516.26953,49422,35150,1275,0,117,4,12876,0,49516.26953,49422,35193,1236,0,114,0,49516.271,49422,35231,1236,0,114,0,49516.271,49422,35265,1229,0,114,0,49516.271,49422,35282,1208,0,114,0,49516.271,49422,35273,1208,0,114,0,49516.271,49422,35121,1208,0,114,0,49516.271,49422,35124,1229,0,90,0,49516.271,49422,35069,1248,0,67,0,49516.271,49422,35227,1266,0,49,0,49516.271,49422,35341,1259,0,48,0,49516.271,49422,35182,1254,0,47,0,49516.271
79,Buol,40711,1167,2804,0,50,0,40804.71875,40711,1174,2816,0,47,362,36312,0,40804.71875,40711,1192,2794,0,47,0,40804.72237,40711,1195,2799,0,47,0,40804.72237,40711,1173,2653,0,47,0,40804.72237,40711,1162,2506,0,47,0,40804.72237,40711,1138,2328,0,47,0,40804.72237,40711,1117,1950,0,47,0,40804.72237,40711,1118,1951,0,45,0,40804.72237,40711,1037,1815,0,43,0,40804.72237,40711,1004,1597,0,39,0,40804.72237,40711,980,1516,0,39,0,40804.72237,40711,1003,1572,0,38,0,40804.72237
80,Buru,47015,15578,3235,692,74,87,47101.20313,47015,15596,3250,692,49,298,27049,81,47101.20313,47015,15576,3256,692,43,81,47101.20117,47015,15541,3257,692,42,81,47101.20117,47015,15282,3247,692,42,28,47101.20117,47015,15146,3243,692,42,23,47101.20117,47015,15000,3241,692,42,23,47101.20117,47015,14598,3235,692,42,23,47101.20117,47015,14598,3235,692,42,23,47101.20117,47015,14597,3217,692,42,23,47101.20117,47015,14607,3218,692,41,23,47101.20117,47015,14618,3213,692,39,21,47101.20117,47015,14560,3213,692,39,21,47101.20117
81,Buru Selatan,43686,8536,1428,265,8,30,43767.69531,43686,8553,1430,265,6,181,33211,30,43767.69531,43686,8484,1433,265,3,30,43767.70027,43686,8463,1433,264,3,30,43767.70027,43686,8335,1432,264,3,16,43767.70027,43686,8145,1380,263,3,16,43767.70027,43686,8076,1377,262,3,16,43767.70027,43686,7673,1346,260,3,16,43767.70027,43686,7673,1346,260,3,16,43767.70027,43686,7442,1331,258,3,16,43767.70027,43686,7430,1331,258,3,16,43767.70027,43686,7394,1330,258,3,16,43767.70027,43686,7317,1319,258,3,15,43767.70027
82,Buton,17488,4609,331,4,3,0,17551.56055,17488,4611,331,4,3,81,12458,0,17551.56055,17488,4470,331,4,1,0,17551.56055,17488,4442,331,4,1,0,17551.56055,17488,4334,329,4,1,0,17551.56055,17488,4306,329,4,1,0,17551.56055,17488,4264,329,4,1,0,17551.56055,17488,4276,329,4,1,0,17551.56055,17488,4276,329,4,1,0,17551.56055,17488,4572,323,4,1,0,17551.56055,17488,4568,323,4,1,0,17551.56055,17488,4574,323,4,1,0,17551.56055,17488,4589,323,4,1,0,17551.56055
83,Buton Selatan,5706,2639,1128,153,64,1,5749.290039,5706,2642,1128,153,64,90,1628,1,5749.290039,5706,2642,1128,153,64,1,5749.290039,5706,2607,1127,153,64,1,5749.290039,5706,2577,1126,153,64,1,5749.290039,5706,2571,1126,153,64,1,5749.290039,5706,2568,1126,153,64,1,5749.290039,5706,2571,1126,153,64,1,5749.290039,5706,2572,1127,153,61,1,5749.290039,5706,2560,1124,153,60,0,5749.290039,5706,2562,1124,153,60,0,5749.290039,5706,2562,1124,153,60,0,5749.290039,5706,2562,1124,153,60,0,5749.290039
